shape,convex,x_raw,algorithm,parameter,dist_euclidean,dist_horizontal
A,concave,45,alpha_shape,0.1,20.11218536,35.5
A,concave,45,alpha_shape,0.2,20.52437575,44
A,concave,45,alpha_shape,0.3,20.52437575,44
A,concave,45,alpha_shape,0.6,21.36000936,44
A,concave,45,alpha_shape,1,21.36000936,44
A,concave,64,alpha_shape,0.01,37.31621631,39.5
A,concave,64,alpha_shape,0.02,37.31621631,41.5
A,concave,64,alpha_shape,0.03,37.31621631,43.5
A,concave,64,alpha_shape,0.04,37.31621631,47.5
A,concave,64,alpha_shape,0.045,37.31621631,49.5
A,concave,64,alpha_shape,0.047,37.31621631,49.5
A,concave,64,alpha_shape,0.049,37.31621631,50.5
A,concave,64,alpha_shape,0.05,37.31621631,50.5
A,concave,64,alpha_shape,0.051,37.31621631,50.5
A,concave,64,alpha_shape,0.053,37.31621631,50.5
A,concave,64,alpha_shape,0.055,37.31621631,51.5
A,concave,64,alpha_shape,0.06,37.31621631,52.5
A,concave,64,alpha_shape,0.1,37.31621631,54.5
A,concave,64,alpha_shape,0.2,37.79219496,63
A,concave,64,alpha_shape,0.3,37.79219496,63
A,concave,64,alpha_shape,0.6,38.74596753,63
A,concave,64,alpha_shape,1,38.74596753,63
A,convex,0,alpha_shape,0.01,0,-0.5
A,convex,0,alpha_shape,0.02,0,-0.5
A,convex,0,alpha_shape,0.03,0,-0.5
A,convex,0,alpha_shape,0.04,0,-0.5
A,convex,0,alpha_shape,0.045,0,-0.5
A,convex,0,alpha_shape,0.047,0,-0.5
A,convex,0,alpha_shape,0.049,0,-0.5
A,convex,0,alpha_shape,0.05,0,-0.5
A,convex,0,alpha_shape,0.051,0,-0.5
A,convex,0,alpha_shape,0.053,0,-0.5
A,convex,0,alpha_shape,0.055,0,-0.5
A,convex,0,alpha_shape,0.06,0,-0.5
A,convex,0,alpha_shape,0.1,0,-0.5
A,convex,0,alpha_shape,0.2,0,-0.5
A,convex,0,alpha_shape,0.3,0,-0.5
A,convex,0,alpha_shape,0.6,0,-0.5
A,convex,0,alpha_shape,1,0,-0.5
A,convex,4,alpha_shape,0.01,3.801315562,3.5
A,convex,4,alpha_shape,0.02,3.801315562,3.5
A,convex,4,alpha_shape,0.03,3.801315562,3.5
A,convex,4,alpha_shape,0.04,3.801315562,3.5
A,convex,4,alpha_shape,0.045,3.801315562,3.5
A,convex,4,alpha_shape,0.047,3.801315562,3.5
A,convex,4,alpha_shape,0.049,3.801315562,3.5
A,convex,4,alpha_shape,0.05,3.801315562,3.5
A,convex,4,alpha_shape,0.051,3.801315562,3.5
A,convex,4,alpha_shape,0.053,3.801315562,3.5
A,convex,4,alpha_shape,0.055,3.801315562,3.5
A,convex,4,alpha_shape,0.06,3.801315562,3.5
A,convex,4,alpha_shape,0.1,3.801315562,3.5
A,convex,4,alpha_shape,0.2,3.801315562,3.5
A,convex,4,alpha_shape,0.3,3.801315562,3.5
A,convex,4,alpha_shape,0.6,3.801315562,3.5
A,convex,4,alpha_shape,1,3.801315562,3.5
A,convex,8,alpha_shape,0.01,7.379024326,7.5
A,convex,8,alpha_shape,0.02,7.379024326,7.5
A,convex,8,alpha_shape,0.03,7.379024326,7.5
A,convex,8,alpha_shape,0.04,7.379024326,7.5
A,convex,8,alpha_shape,0.045,7.379024326,7.5
A,convex,8,alpha_shape,0.047,7.379024326,7.5
A,convex,8,alpha_shape,0.049,7.379024326,7.5
A,convex,8,alpha_shape,0.05,7.379024326,7.5
A,convex,8,alpha_shape,0.051,7.379024326,7.5
A,convex,8,alpha_shape,0.053,7.379024326,7.5
A,convex,8,alpha_shape,0.055,7.379024326,7.5
A,convex,8,alpha_shape,0.06,7.379024326,7.5
A,convex,8,alpha_shape,0.1,7.379024326,7.5
A,convex,8,alpha_shape,0.2,7.379024326,7.5
A,convex,8,alpha_shape,0.3,7.379024326,7.5
A,convex,8,alpha_shape,0.6,7.379024326,7.5
A,convex,8,alpha_shape,1,7.379024326,7.5
A,convex,12,alpha_shape,0.01,10.95673309,11.5
A,convex,12,alpha_shape,0.02,10.95673309,11.5
A,convex,12,alpha_shape,0.03,10.95673309,11.5
A,convex,12,alpha_shape,0.04,10.95673309,11.5
A,convex,12,alpha_shape,0.045,10.95673309,11.5
A,convex,12,alpha_shape,0.047,10.95673309,11.5
A,convex,12,alpha_shape,0.049,10.95673309,11.5
A,convex,12,alpha_shape,0.05,10.95673309,11.5
A,convex,12,alpha_shape,0.051,10.95673309,11.5
A,convex,12,alpha_shape,0.053,10.95673309,11.5
A,convex,12,alpha_shape,0.055,10.95673309,11.5
A,convex,12,alpha_shape,0.06,10.95673309,11.5
A,convex,12,alpha_shape,0.1,10.95673309,11.5
A,convex,12,alpha_shape,0.2,10.95673309,11.5
A,convex,12,alpha_shape,0.3,10.95673309,11.5
A,convex,12,alpha_shape,0.6,10.95673309,11.5
A,convex,12,alpha_shape,1,10.95673309,11.5
A,convex,16,alpha_shape,0.01,14.53444185,15.5
A,convex,16,alpha_shape,0.02,14.53444185,15.5
A,convex,16,alpha_shape,0.03,14.53444185,15.5
A,convex,16,alpha_shape,0.04,14.53444185,15.5
A,convex,16,alpha_shape,0.045,14.53444185,15.5
A,convex,16,alpha_shape,0.047,14.53444185,15.5
A,convex,16,alpha_shape,0.049,14.53444185,15.5
A,convex,16,alpha_shape,0.05,14.53444185,15.5
A,convex,16,alpha_shape,0.051,14.53444185,15.5
A,convex,16,alpha_shape,0.053,14.53444185,15.5
A,convex,16,alpha_shape,0.055,14.53444185,15.5
A,convex,16,alpha_shape,0.06,14.53444185,15.5
A,convex,16,alpha_shape,0.1,14.53444185,15.5
A,convex,16,alpha_shape,0.2,14.53444185,15.5
A,convex,16,alpha_shape,0.3,14.53444185,15.5
A,convex,16,alpha_shape,0.6,14.53444185,15.5
A,convex,16,alpha_shape,1,14.53444185,15.5
A,convex,20,alpha_shape,0.01,18.11215062,19.5
A,convex,20,alpha_shape,0.02,18.11215062,19.5
A,convex,20,alpha_shape,0.03,18.11215062,19.5
A,convex,20,alpha_shape,0.04,18.11215062,19.5
A,convex,20,alpha_shape,0.045,18.11215062,19.5
A,convex,20,alpha_shape,0.047,18.11215062,19.5
A,convex,20,alpha_shape,0.049,18.11215062,19.5
A,convex,20,alpha_shape,0.05,18.11215062,19.5
A,convex,20,alpha_shape,0.051,18.11215062,19.5
A,convex,20,alpha_shape,0.053,18.11215062,19.5
A,convex,20,alpha_shape,0.055,18.11215062,19.5
A,convex,20,alpha_shape,0.06,18.11215062,19.5
A,convex,20,alpha_shape,0.1,18.11215062,19.5
A,convex,20,alpha_shape,0.2,18.11215062,19.5
A,convex,20,alpha_shape,0.3,18.11215062,19.5
A,convex,20,alpha_shape,0.6,18.11215062,19.5
A,convex,20,alpha_shape,1,18.11215062,19.5
A,convex,25,alpha_shape,0.01,22.58428657,24.5
A,convex,25,alpha_shape,0.02,22.58428657,24.5
A,convex,25,alpha_shape,0.03,22.58428657,24.5
A,convex,25,alpha_shape,0.04,22.58428657,24.5
A,convex,25,alpha_shape,0.045,22.58428657,24.5
A,convex,25,alpha_shape,0.047,22.58428657,24.5
A,convex,25,alpha_shape,0.049,22.58428657,24.5
A,convex,25,alpha_shape,0.05,22.58428657,24.5
A,convex,25,alpha_shape,0.051,22.58428657,24.5
A,convex,25,alpha_shape,0.053,22.58428657,24.5
A,convex,25,alpha_shape,0.055,22.58428657,24.5
A,convex,25,alpha_shape,0.06,22.58428657,24.5
A,convex,25,alpha_shape,0.1,22.58428657,24.5
A,convex,25,alpha_shape,0.2,22.58428657,24.5
A,convex,25,alpha_shape,0.3,22.58428657,24.5
A,convex,25,alpha_shape,0.6,22.58428657,24.5
A,convex,25,alpha_shape,1,22.58428657,24.5
A,convex,32,alpha_shape,0.01,28.84527691,31.5
A,convex,32,alpha_shape,0.02,28.84527691,31.5
A,convex,32,alpha_shape,0.03,28.84527691,31.5
A,convex,32,alpha_shape,0.04,28.84527691,31.5
A,convex,32,alpha_shape,0.045,28.84527691,31.5
A,convex,32,alpha_shape,0.047,28.84527691,31.5
A,convex,32,alpha_shape,0.049,28.84527691,31.5
A,convex,32,alpha_shape,0.05,28.84527691,31.5
