folder_name,gt_distance,distance_to_boundary,distance_to_centroid,middle_frame
flipped_D_concave_1,1,-181.0,13.876422060124087,412
flipped_G_convex_3,3,33.0,154.27540147986022,365
B_convex_6,6,26.0,116.34140039425101,382
exp_4,4,-17.0,88.43016299454906,403
flipped_G_convex_5,5,60.0,175.33366983448622,357
D_concave_8,8,-146.0,42.878666029804954,371
D_concave_4,4,-164.0,42.90528175041518,400
flipped_A_convex_0,0,-40.0,52.225193874646735,394
flipped_C_convex_8,8,44.0,139.70050227413898,369
B_concave_7,7,-115.0,60.924467432858634,390
flipped_C_convex_7,7,31.0,124.81976853300013,382
flipped_D_convex_7,7,-3.0,113.47208945617318,373
E_convex_1,1,3.0,107.17584930777804,398
F_concave_4,4,-197.0,27.688227630531987,386
flipped_D_convex_4,4,16.0,114.4780956912441,389
flipped_F_concave_6,6,-94.0,86.47601886380848,377
D_convex_3,3,13.0,110.91979829541934,393
C_concave_2,2,-15.0,90.00931247606032,408
flipped_C_concave_7,7,3.0,114.57249988967332,384
H_concave_9,9,30.0,166.14589132839072,341
C_convex_5,5,10.0,101.55811566957306,394
flipped_H_concave_3,3,-16.0,74.82509463395529,393
H_concave_7,7,-99.0,103.95252044088679,373
H_convex_4,4,16.0,137.54896717574798,370
F_concave_3,3,-86.0,66.47871368545862,390
flipped_F_convex_4,4,16.0,124.69200957464608,380
H_convex_7,7,32.0,139.32560799780504,354
flipped_A_convex_1,1,2.0,118.56320468974535,390
flipped_B_concave_3,3,-136.0,31.522036771491916,410
flipped_B_convex_1,1,-1.0,95.79823215424358,403
E_concave_8,8,25.0,146.71452989545816,350
F_convex_7,7,33.0,140.72773534575177,364
H_convex_1,1,-1.0,124.01363733406122,382
warmup_4,4,-17.0,88.43016299454906,403
F_convex_9,9,67.0,171.7338160280438,332
flipped_E_concave_3,3,-3.0,114.33931290085236,383
flipped_D_convex_1,1,-23.0,88.11323673811772,401
C_concave_3,3,-26.0,87.03308862094677,404
flipped_B_convex_8,8,43.0,138.80215245780397,362
F_concave_9,9,46.0,160.1363412567712,338
flipped_A_concave_7,7,-4.0,111.01539082632364,381
flipped_B_concave_1,1,-165.0,8.331380915206193,418
flipped_H_convex_9,9,64.0,183.99873725701295,322
flipped_C_concave_5,5,12.0,108.82534771299528,396
flipped_F_concave_7,7,-66.0,94.52986797721512,370
flipped_G_concave_0,0,-242.0,37.954894452354935,409
C_convex_2,2,-1.0,91.24718608754911,406
G_concave_5,5,501.0,91.09104793855515,388
flipped_H_concave_4,4,-35.0,114.81051666013045,389
flipped_F_convex_6,6,18.0,131.37006198777902,371
flipped_E_concave_0,0,-250.0,3.892532529311161,395
H_convex_6,6,24.0,146.5200965754709,361
flipped_C_convex_1,1,3.0,97.97955709281732,410
F_convex_5,5,21.0,128.45158021145258,376
H_concave_2,2,-170.0,28.76484947181067,397
warmup_3,3,18.0,97.34492635706044,407
C_concave_9,9,46.0,146.0823677428273,352
flipped_C_concave_6,6,-23.0,100.75007906272612,391
flipped_A_concave_1,1,-25.0,89.73258074603291,409
D_convex_5,5,19.0,118.35695155004275,385
exp_9,9,64.0,145.87260050568793,355
flipped_C_convex_0,0,-65.0,59.29810582867476,414
A_convex_4,4,14.0,126.154529799598,378
A_convex_9,9,62.0,178.41358415367793,330
