shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape5,convex_area2,3,27,same,5,3282.1,control,different,shape5_convex_area2,0,convex,2
catch_shape,no_change2,3,28,same,9,1456.1,control,same,catch_shape_no_change2,1,none,2
shape2,convex_area1,3,29,different,9,2371.6,control,different,shape2_convex_area1,1,convex,2
shape6,concave_area2,3,30,same,4,2441.2,control,different,shape6_concave_area2,0,concave,2
shape3,concave_nofill_area2,3,31,different,7,2325.7,control,different,shape3_concave_nofill_area2,1,concave_nofill,2
shape1,concave_nofill_area2,3,32,same,5,2413.1,control,different,shape1_concave_nofill_area2,0,concave_nofill,2
shape8,concave_area2,3,33,different,7,2549.8,control,different,shape8_concave_area2,1,concave,2
shape4,convex_area1,3,34,different,9,1461.9,control,different,shape4_convex_area1,1,convex,2
shape7,concave_nofill_area1,3,35,different,9,1850.1,control,different,shape7_concave_nofill_area1,1,concave_nofill,2
shape7,convex_area2,4,36,same,9,1755.1,control,different,shape7_convex_area2,0,convex,2
shape6,concave_nofill_area2,4,37,different,9,1463.8,control,different,shape6_concave_nofill_area2,1,concave_nofill,2
shape3,no_change4,4,38,same,8,1504.9,control,same,shape3_no_change4,1,none,2
shape4,concave_nofill_area2,4,39,different,9,1760.8,control,different,shape4_concave_nofill_area2,1,concave_nofill,2
shape1,concave_area1,4,40,same,4,2131,control,different,shape1_concave_area1,0,concave,2
catch_shape,no_change3,4,41,same,9,4036.9,control,same,catch_shape_no_change3,1,none,2
shape2,convex_area2,4,42,different,7,2081.6,control,different,shape2_convex_area2,1,convex,2
shape5,no_change3,4,43,same,9,2021.7,control,same,shape5_no_change3,1,none,2
shape8,no_change2,4,44,same,9,1861.6,control,same,shape8_no_change2,1,none,2
shape8,no_change1,5,45,same,9,1597.2,control,same,shape8_no_change1,1,none,2
shape2,concave_nofill_area2,5,46,different,3,2070,control,different,shape2_concave_nofill_area2,1,concave_nofill,2
catch_shape,change6,5,47,different,9,1756.9,control,different,catch_shape_change6,1,none,2
shape6,convex_area2,5,48,different,9,2007.9,control,different,shape6_convex_area2,1,convex,2
shape4,no_change4,5,49,same,9,1755.5,control,same,shape4_no_change4,1,none,2
shape3,no_change1,5,50,same,7,1626.7,control,same,shape3_no_change1,1,none,2
shape5,concave_nofill_area2,5,51,different,4,2281,control,different,shape5_concave_nofill_area2,1,concave_nofill,2
shape7,no_change4,5,52,same,9,1423.8,control,same,shape7_no_change4,1,none,2
shape1,convex_area1,5,53,different,6,2503.3,control,different,shape1_convex_area1,1,convex,2
shape3,no_change2,6,54,same,6,2617.1,control,same,shape3_no_change2,1,none,2
shape5,convex_area1,6,55,different,8,1662.5,control,different,shape5_convex_area1,1,convex,2
shape1,concave_nofill_area1,6,56,same,9,1231,control,different,shape1_concave_nofill_area1,0,concave_nofill,2
shape4,concave_area2,6,57,different,9,2296.1,control,different,shape4_concave_area2,1,concave,2
shape8,no_change5,6,58,different,3,1615.4,control,same,shape8_no_change5,0,none,2
shape2,no_change2,6,59,different,2,5511.3,control,same,shape2_no_change2,0,none,2
shape6,no_change2,6,60,same,3,3500.7,control,same,shape6_no_change2,1,none,2
shape7,no_change5,6,61,same,2,1939.9,control,same,shape7_no_change5,1,none,2
