shape,convex,algorithm,parameter,area_orig,area_new,area_diff,area_diff_ratio
H,convex,alpha_shape,0.6,6707.5,6648.125,-59.375,-0.008852031308237049
H,convex,alpha_shape,1.0,6707.5,6617.625,-89.875,-0.013399180022363026
H,concave,alpha_shape,0.01,6692.0,10417.375,3725.375,0.556690824865511
H,concave,alpha_shape,0.02,6692.0,10221.5,3529.5,0.5274208009563658
H,concave,alpha_shape,0.03,6692.0,10068.625,3376.625,0.5045763598326359
H,concave,alpha_shape,0.04,6692.0,9110.125,2418.125,0.3613456365809922
H,concave,alpha_shape,0.045,6692.0,8926.875,2234.875,0.33396219366407653
H,concave,alpha_shape,0.047,6692.0,8805.25,2113.25,0.3157875074716079
H,concave,alpha_shape,0.049,6692.0,8693.875,2001.875,0.29914450089659295
H,concave,alpha_shape,0.05,6692.0,8403.75,1711.75,0.2557904961147639
H,concave,alpha_shape,0.051,6692.0,8355.25,1663.25,0.24854303646144651
H,concave,alpha_shape,0.053,6692.0,8315.25,1623.25,0.24256575014943216
H,concave,alpha_shape,0.055,6692.0,8315.25,1623.25,0.24256575014943216
H,concave,alpha_shape,0.06,6692.0,8069.0,1377.0,0.20576808129109384
H,concave,alpha_shape,0.1,6692.0,7627.125,935.125,0.13973774656306037
H,concave,alpha_shape,0.2,6692.0,6833.0,141.0,0.02106993424985057
H,concave,alpha_shape,0.3,6692.0,6710.25,18.25,0.002727136879856545
H,concave,alpha_shape,0.6,6692.0,6580.75,-111.25,-0.0166243275552899
H,concave,alpha_shape,1.0,6692.0,6558.25,-133.75,-0.01998655110579797
all,all,alpha_shape,0.01,,,,0.4049200103456845
all,all,alpha_shape,0.02,,,,0.3821237760790597
all,all,alpha_shape,0.03,,,,0.3535009873950583
all,all,alpha_shape,0.04,,,,0.28473065111072066
all,all,alpha_shape,0.045,,,,0.2508640486720583
all,all,alpha_shape,0.047,,,,0.24259796382381027
all,all,alpha_shape,0.049,,,,0.2320509253971601
all,all,alpha_shape,0.05,,,,0.22326405248191522
all,all,alpha_shape,0.051,,,,0.21908894572093596
all,all,alpha_shape,0.053,,,,0.20983504837543832
all,all,alpha_shape,0.055,,,,0.20157033709170033
all,all,alpha_shape,0.06,,,,0.1803909426591207
all,all,alpha_shape,0.1,,,,0.11370236891535326
all,all,alpha_shape,0.2,,,,0.0217518129486204
all,all,alpha_shape,0.3,,,,0.0012946770257210717
all,all,alpha_shape,0.6,,,,-0.014940168301326046
all,all,alpha_shape,1.0,,,,-0.017812590411171052
